2022-10-27 13:35:27,129 - INFO       - vista.py - actualizar_treeview - Comenzando la interacción con la base de datos
2022-10-27 13:35:27,132 - INFO       - vista.py - actualizar_treeview - Devuelto: actualizar la tabla con exito, hay 1 records en total - Terminar funcion
2022-10-27 13:36:10,883 - INFO       - vista.py - actualizar_treeview - Comenzando la interacción con la base de datos
2022-10-27 13:36:10,886 - INFO       - vista.py - actualizar_treeview - Devuelto: actualizar la tabla con exito, hay 1 records en total - Terminar funcion
2022-10-27 13:36:37,904 - INFO       - vista.py - actualizar_treeview - Comenzando la interacción con la base de datos
2022-10-27 13:36:37,906 - INFO       - vista.py - actualizar_treeview - Devuelto: actualizar la tabla con exito, hay 1 records en total - Terminar funcion
2022-10-27 13:36:40,426 - INFO       - observadore_main.py - verificar - Comenzando la interacción con la base de datos
2022-10-27 13:36:40,428 - INFO       - modelo.py - actualizar_treeview - Comenzando la interacción con la base de datos
2022-10-27 13:36:40,429 - INFO       - modelo.py - actualizar_treeview - Devuelto: actualizar la tabla con exito, hay 1 records en total - Terminar funcion
2022-10-27 13:36:40,429 - ERROR      - observadore_main.py - verificar - Excepcion: 'usario_id'
2022-10-27 13:39:14,826 - INFO       - modelo.py - actualizar_treeview - Comenzando la interacción con la base de datos
2022-10-27 13:39:14,827 - ERROR      - modelo.py - actualizar_treeview - Excepcion: actualizar_treeview() takes 2 positional arguments but 3 were given
2022-10-27 13:39:51,220 - INFO       - vista.py - actualizar_treeview - Comenzando la interacción con la base de datos
2022-10-27 13:39:51,224 - INFO       - vista.py - actualizar_treeview - Devuelto: actualizar la tabla con exito, hay 1 records en total - Terminar funcion
2022-10-27 13:39:56,248 - INFO       - observadore_main.py - alta - Comenzando la interacción con la base de datos
2022-10-27 13:39:56,253 - INFO       - modelo.py - actualizar_treeview - Comenzando la interacción con la base de datos
2022-10-27 13:39:56,254 - INFO       - modelo.py - actualizar_treeview - Devuelto: actualizar la tabla con exito, hay 2 records en total - Terminar funcion
2022-10-27 13:39:56,254 - INFO       - observadore_main.py - alta - Devuelto: agregar usario 2 con correo: s@s y empresa: s con exito - Terminar funcion
